,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.07063312828540802,random_no_constants,0,50,30,100,50,20,40,3,80,3
1,train,transformer,Misrankings score,0.7326485377795422,random_no_constants,0,50,30,100,50,20,40,3,80,3
2,train,transformer,Loss,0.9004341901639981,random_no_constants,0,50,30,100,50,20,40,3,80,3
3,train,dummy,MSE,0.13150466978549957,random_no_constants,0,50,30,100,50,20,40,3,80,3
4,train,dummy,Misrankings score,0.5913970490935556,random_no_constants,0,50,30,100,50,20,40,3,80,3
5,train,dummy,Loss,0.828851334552539,random_no_constants,0,50,30,100,50,20,40,3,80,3
6,val,transformer,MSE,0.07384885847568512,random_no_constants,0,50,30,100,50,20,40,3,80,3
7,val,transformer,Misrankings score,0.7353896103896104,random_no_constants,0,50,30,100,50,20,40,3,80,3
8,val,transformer,Loss,0.896846174901217,random_no_constants,0,50,30,100,50,20,40,3,80,3
9,val,dummy,MSE,0.14878369867801666,random_no_constants,0,50,30,100,50,20,40,3,80,3
10,val,dummy,Misrankings score,0.588821892393321,random_no_constants,0,50,30,100,50,20,40,3,80,3
11,val,dummy,Loss,0.8337290306242252,random_no_constants,0,50,30,100,50,20,40,3,80,3
12,tune,transformer,MSE,0.0774579867720604,random_no_constants,0,50,30,100,50,20,40,3,80,3
13,tune,transformer,Misrankings score,0.7279649284725427,random_no_constants,0,50,30,100,50,20,40,3,80,3
14,tune,transformer,Loss,0.9091861729950051,random_no_constants,0,50,30,100,50,20,40,3,80,3
15,tune,dummy,MSE,0.13405738770961761,random_no_constants,0,50,30,100,50,20,40,3,80,3
16,tune,dummy,Misrankings score,0.5847561913551761,random_no_constants,0,50,30,100,50,20,40,3,80,3
17,tune,dummy,Loss,0.8147314583769965,random_no_constants,0,50,30,100,50,20,40,3,80,3
18,test,transformer,MSE,0.0774579867720604,random_no_constants,0,50,30,100,50,20,40,3,80,3
19,test,transformer,Misrankings score,0.7279649284725427,random_no_constants,0,50,30,100,50,20,40,3,80,3
20,test,transformer,Loss,0.9091861729950051,random_no_constants,0,50,30,100,50,20,40,3,80,3
21,test,dummy,MSE,0.13405738770961761,random_no_constants,0,50,30,100,50,20,40,3,80,3
22,test,dummy,Misrankings score,0.5847561913551761,random_no_constants,0,50,30,100,50,20,40,3,80,3
23,test,dummy,Loss,0.8147314583769965,random_no_constants,0,50,30,100,50,20,40,3,80,3
24,test,ELA,Loss,0.9169250577976769,random_no_constants,0,50,30,100,50,20,40,3,80,3
0,train,transformer,MSE,0.12077615410089493,random_no_constants,1,50,30,100,10,50,40,3,100,1
1,train,transformer,Misrankings score,0.5596963080587535,random_no_constants,1,50,30,100,10,50,40,3,100,1
2,train,transformer,Loss,0.8142889458394544,random_no_constants,1,50,30,100,10,50,40,3,100,1
3,train,dummy,MSE,0.13529865443706512,random_no_constants,1,50,30,100,10,50,40,3,100,1
4,train,dummy,Misrankings score,0.5917692205901813,random_no_constants,1,50,30,100,10,50,40,3,100,1
5,train,dummy,Loss,0.8326633436060538,random_no_constants,1,50,30,100,10,50,40,3,100,1
6,val,transformer,MSE,0.11640208959579468,random_no_constants,1,50,30,100,10,50,40,3,100,1
7,val,transformer,Misrankings score,0.5527983920841064,random_no_constants,1,50,30,100,10,50,40,3,100,1
8,val,transformer,Loss,0.8107915302020213,random_no_constants,1,50,30,100,10,50,40,3,100,1
9,val,dummy,MSE,0.12770915031433105,random_no_constants,1,50,30,100,10,50,40,3,100,1
10,val,dummy,Misrankings score,0.5895949288806431,random_no_constants,1,50,30,100,10,50,40,3,100,1
11,val,dummy,Loss,0.8334185285317312,random_no_constants,1,50,30,100,10,50,40,3,100,1
12,tune,transformer,MSE,0.12362468987703323,random_no_constants,1,50,30,100,10,50,40,3,100,1
13,tune,transformer,Misrankings score,0.5498384863867097,random_no_constants,1,50,30,100,10,50,40,3,100,1
14,tune,transformer,Loss,0.808965573153337,random_no_constants,1,50,30,100,10,50,40,3,100,1
15,tune,dummy,MSE,0.13872967660427094,random_no_constants,1,50,30,100,10,50,40,3,100,1
16,tune,dummy,Misrankings score,0.5828334102445778,random_no_constants,1,50,30,100,10,50,40,3,100,1
17,tune,dummy,Loss,0.845711085531434,random_no_constants,1,50,30,100,10,50,40,3,100,1
18,test,transformer,MSE,0.12362468987703323,random_no_constants,1,50,30,100,10,50,40,3,100,1
19,test,transformer,Misrankings score,0.5498384863867097,random_no_constants,1,50,30,100,10,50,40,3,100,1
20,test,transformer,Loss,0.808965573153337,random_no_constants,1,50,30,100,10,50,40,3,100,1
21,test,dummy,MSE,0.13872967660427094,random_no_constants,1,50,30,100,10,50,40,3,100,1
22,test,dummy,Misrankings score,0.5828334102445778,random_no_constants,1,50,30,100,10,50,40,3,100,1
23,test,dummy,Loss,0.845711085531434,random_no_constants,1,50,30,100,10,50,40,3,100,1
24,test,ELA,Loss,0.9253251559702496,random_no_constants,1,50,30,100,10,50,40,3,100,1
0,train,transformer,MSE,0.08014736324548721,random_no_constants,2,50,30,30,40,20,40,1,20,2
