,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.08149223029613495,random_no_constants,0,50,10,50,10,20,40,1,60,3
1,train,transformer,Misrankings score,0.8005347593582888,random_no_constants,0,50,10,50,10,20,40,1,60,3
2,train,transformer,Loss,0.9386231210013731,random_no_constants,0,50,10,50,10,20,40,1,60,3
3,train,dummy,MSE,0.10200086236000061,random_no_constants,0,50,10,50,10,20,40,1,60,3
4,train,dummy,Misrankings score,0.7647058823529411,random_no_constants,0,50,10,50,10,20,40,1,60,3
5,train,dummy,Loss,0.9386231210013731,random_no_constants,0,50,10,50,10,20,40,1,60,3
6,val,transformer,MSE,0.07739396393299103,random_no_constants,0,50,10,50,10,20,40,1,60,3
7,val,transformer,Misrankings score,0.8183333333333334,random_no_constants,0,50,10,50,10,20,40,1,60,3
8,val,transformer,Loss,0.924411682930791,random_no_constants,0,50,10,50,10,20,40,1,60,3
9,val,dummy,MSE,0.10498237609863281,random_no_constants,0,50,10,50,10,20,40,1,60,3
10,val,dummy,Misrankings score,0.7491666666666666,random_no_constants,0,50,10,50,10,20,40,1,60,3
11,val,dummy,Loss,0.924411682930791,random_no_constants,0,50,10,50,10,20,40,1,60,3
12,tune,transformer,MSE,0.08596133440732956,random_no_constants,0,50,10,50,10,20,40,1,60,3
13,tune,transformer,Misrankings score,0.7736318407960199,random_no_constants,0,50,10,50,10,20,40,1,60,3
14,tune,transformer,Loss,0.9386729958136111,random_no_constants,0,50,10,50,10,20,40,1,60,3
15,tune,dummy,MSE,0.10722613334655762,random_no_constants,0,50,10,50,10,20,40,1,60,3
16,tune,dummy,Misrankings score,0.746268656716418,random_no_constants,0,50,10,50,10,20,40,1,60,3
17,tune,dummy,Loss,0.9370212388662977,random_no_constants,0,50,10,50,10,20,40,1,60,3
18,test,transformer,MSE,0.08596133440732956,random_no_constants,0,50,10,50,10,20,40,1,60,3
19,test,transformer,Misrankings score,0.7736318407960199,random_no_constants,0,50,10,50,10,20,40,1,60,3
20,test,transformer,Loss,0.9386729958136111,random_no_constants,0,50,10,50,10,20,40,1,60,3
21,test,dummy,MSE,0.10722613334655762,random_no_constants,0,50,10,50,10,20,40,1,60,3
22,test,dummy,Misrankings score,0.746268656716418,random_no_constants,0,50,10,50,10,20,40,1,60,3
23,test,dummy,Loss,0.9370212388662977,random_no_constants,0,50,10,50,10,20,40,1,60,3
24,test,ELA,Loss,0.9440645865819379,random_no_constants,0,50,10,50,10,20,40,1,60,3
0,train,transformer,MSE,0.07712805271148682,random_no_constants,1,50,10,20,10,10,20,2,100,3
1,train,transformer,Misrankings score,0.8176470588235294,random_no_constants,1,50,10,20,10,10,20,2,100,3
2,train,transformer,Loss,0.9379587866172661,random_no_constants,1,50,10,20,10,10,20,2,100,3
3,train,dummy,MSE,0.10277097672224045,random_no_constants,1,50,10,20,10,10,20,2,100,3
4,train,dummy,Misrankings score,0.763458110516934,random_no_constants,1,50,10,20,10,10,20,2,100,3
5,train,dummy,Loss,0.9379587866172661,random_no_constants,1,50,10,20,10,10,20,2,100,3
6,val,transformer,MSE,0.07975791394710541,random_no_constants,1,50,10,20,10,10,20,2,100,3
7,val,transformer,Misrankings score,0.7983333333333333,random_no_constants,1,50,10,20,10,10,20,2,100,3
8,val,transformer,Loss,0.9250783524817962,random_no_constants,1,50,10,20,10,10,20,2,100,3
9,val,dummy,MSE,0.10695964843034744,random_no_constants,1,50,10,20,10,10,20,2,100,3
10,val,dummy,Misrankings score,0.7333333333333333,random_no_constants,1,50,10,20,10,10,20,2,100,3
11,val,dummy,Loss,0.9250783524817962,random_no_constants,1,50,10,20,10,10,20,2,100,3
12,tune,transformer,MSE,0.08577676117420197,random_no_constants,1,50,10,20,10,10,20,2,100,3
13,tune,transformer,Misrankings score,0.8009950248756219,random_no_constants,1,50,10,20,10,10,20,2,100,3
14,tune,transformer,Loss,0.9169573695125204,random_no_constants,1,50,10,20,10,10,20,2,100,3
15,tune,dummy,MSE,0.11029069125652313,random_no_constants,1,50,10,20,10,10,20,2,100,3
16,tune,dummy,Misrankings score,0.75787728026534,random_no_constants,1,50,10,20,10,10,20,2,100,3
17,tune,dummy,Loss,0.9169573695125204,random_no_constants,1,50,10,20,10,10,20,2,100,3
18,test,transformer,MSE,0.08577676117420197,random_no_constants,1,50,10,20,10,10,20,2,100,3
19,test,transformer,Misrankings score,0.8009950248756219,random_no_constants,1,50,10,20,10,10,20,2,100,3
20,test,transformer,Loss,0.9169573695125204,random_no_constants,1,50,10,20,10,10,20,2,100,3
21,test,dummy,MSE,0.11029069125652313,random_no_constants,1,50,10,20,10,10,20,2,100,3
22,test,dummy,Misrankings score,0.75787728026534,random_no_constants,1,50,10,20,10,10,20,2,100,3
23,test,dummy,Loss,0.9169573695125204,random_no_constants,1,50,10,20,10,10,20,2,100,3
24,test,ELA,Loss,0.938000483367174,random_no_constants,1,50,10,20,10,10,20,2,100,3
0,train,transformer,MSE,0.07561713457107544,random_no_constants,2,50,10,70,10,30,20,3,60,3
1,train,transformer,Misrankings score,0.8128342245989305,random_no_constants,2,50,10,70,10,30,20,3,60,3
2,train,transformer,Loss,0.9353440344282927,random_no_constants,2,50,10,70,10,30,20,3,60,3
3,train,dummy,MSE,0.10344971716403961,random_no_constants,2,50,10,70,10,30,20,3,60,3
4,train,dummy,Misrankings score,0.7588235294117647,random_no_constants,2,50,10,70,10,30,20,3,60,3
5,train,dummy,Loss,0.9353440344282927,random_no_constants,2,50,10,70,10,30,20,3,60,3
6,val,transformer,MSE,0.07143786549568176,random_no_constants,2,50,10,70,10,30,20,3,60,3
7,val,transformer,Misrankings score,0.8166666666666667,random_no_constants,2,50,10,70,10,30,20,3,60,3
8,val,transformer,Loss,0.9544184288300676,random_no_constants,2,50,10,70,10,30,20,3,60,3
9,val,dummy,MSE,0.0970115214586258,random_no_constants,2,50,10,70,10,30,20,3,60,3
10,val,dummy,Misrankings score,0.7666666666666667,random_no_constants,2,50,10,70,10,30,20,3,60,3
11,val,dummy,Loss,0.9544184288300676,random_no_constants,2,50,10,70,10,30,20,3,60,3
12,tune,transformer,MSE,0.0782800018787384,random_no_constants,2,50,10,70,10,30,20,3,60,3
13,tune,transformer,Misrankings score,0.8266998341625207,random_no_constants,2,50,10,70,10,30,20,3,60,3
14,tune,transformer,Loss,0.9274712398625267,random_no_constants,2,50,10,70,10,30,20,3,60,3
15,tune,dummy,MSE,0.10680343210697174,random_no_constants,2,50,10,70,10,30,20,3,60,3
16,tune,dummy,Misrankings score,0.7694859038142621,random_no_constants,2,50,10,70,10,30,20,3,60,3
17,tune,dummy,Loss,0.9274712398625267,random_no_constants,2,50,10,70,10,30,20,3,60,3
18,test,transformer,MSE,0.0782800018787384,random_no_constants,2,50,10,70,10,30,20,3,60,3
19,test,transformer,Misrankings score,0.8266998341625207,random_no_constants,2,50,10,70,10,30,20,3,60,3
20,test,transformer,Loss,0.9274712398625267,random_no_constants,2,50,10,70,10,30,20,3,60,3
21,test,dummy,MSE,0.10680343210697174,random_no_constants,2,50,10,70,10,30,20,3,60,3
22,test,dummy,Misrankings score,0.7694859038142621,random_no_constants,2,50,10,70,10,30,20,3,60,3
23,test,dummy,Loss,0.9274712398625267,random_no_constants,2,50,10,70,10,30,20,3,60,3
24,test,ELA,Loss,0.946998892905017,random_no_constants,2,50,10,70,10,30,20,3,60,3
0,train,transformer,MSE,0.08036986738443375,random_no_constants,3,50,10,80,20,20,100,2,20,3
1,train,transformer,Misrankings score,0.8036541889483066,random_no_constants,3,50,10,80,20,20,100,2,20,3
2,train,transformer,Loss,0.9320855050526129,random_no_constants,3,50,10,80,20,20,100,2,20,3
3,train,dummy,MSE,0.1045447513461113,random_no_constants,3,50,10,80,20,20,100,2,20,3
4,train,dummy,Misrankings score,0.760873440285205,random_no_constants,3,50,10,80,20,20,100,2,20,3
5,train,dummy,Loss,0.9320855050526129,random_no_constants,3,50,10,80,20,20,100,2,20,3
6,val,transformer,MSE,0.0792073979973793,random_no_constants,3,50,10,80,20,20,100,2,20,3
7,val,transformer,Misrankings score,0.8025,random_no_constants,3,50,10,80,20,20,100,2,20,3
8,val,transformer,Loss,0.9474617909644718,random_no_constants,3,50,10,80,20,20,100,2,20,3
9,val,dummy,MSE,0.09790955483913422,random_no_constants,3,50,10,80,20,20,100,2,20,3
10,val,dummy,Misrankings score,0.7691666666666667,random_no_constants,3,50,10,80,20,20,100,2,20,3
11,val,dummy,Loss,0.9474617909644718,random_no_constants,3,50,10,80,20,20,100,2,20,3
12,tune,transformer,MSE,0.08138963580131531,random_no_constants,3,50,10,80,20,20,100,2,20,3
13,tune,transformer,Misrankings score,0.785240464344942,random_no_constants,3,50,10,80,20,20,100,2,20,3
14,tune,transformer,Loss,0.9389334484133754,random_no_constants,3,50,10,80,20,20,100,2,20,3
15,tune,dummy,MSE,0.10162182152271271,random_no_constants,3,50,10,80,20,20,100,2,20,3
16,tune,dummy,Misrankings score,0.7653399668325042,random_no_constants,3,50,10,80,20,20,100,2,20,3
17,tune,dummy,Loss,0.9389334484133754,random_no_constants,3,50,10,80,20,20,100,2,20,3
